tar,Coke_1030(c),Coke_1030(s),Coke_1030(humidity),Coke_1030(s112),Coke_1030(s112_315),Coke_1030(s315),Coke_Fine(c),Coke_Fine(s),Coke_Fine(humidity),Coke_Fine(s05),Coke_Fine(s05_335),Coke_Fine(s335),dolomite(cao),dolomite(mgo),dolomite(s0_95),dolomite(s95_385),dolomite(s385_1000),lime(cao),lime(mgo),lime(s0_95),lime(s95_508),dri(fe_metal),dri(fe_total),dri(md),dri(c),dri(cao),dri(sio2),dri(mgo),dri(gunge),dri(feo_c),labels
14021205,80.5,1.22,0.0,4.44,94.56,1.0,98.62,0.29,0.0,1.0,99.0,0.0,54.7,32.83,2.67,64.0,0.0,90.85,1.2,4.5,95.5,82.65,87.95,93.95,1.6,0.46,2.4,0.35,8.93,4.26,3
14021206,80.43,1.3,0.0,5.0,93.67,1.33,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,82.37,88.0,93.6,1.7,0.0,0.0,0.0,8.69,4.29,1
14021207,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,80.47,86.3,93.22,1.6,0.23,1.2,0.17,10.43,4.69,2
14021208,80.65,1.3,0.0,3.67,94.0,2.33,98.5,0.3,0.0,1.0,99.0,0.0,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,81.13,86.8,93.47,1.73,0.31,1.6,0.28,9.84,4.25,3
14021209,80.92,1.32,0.0,1.25,90.5,8.25,98.63,0.27,0.0,1.0,99.0,0.0,54.3,32.35,1.0,49.0,0.0,91.48,1.2,4.0,96.0,80.12,86.32,92.8,1.68,0.23,1.16,0.14,10.22,4.9,3
14021210,80.35,1.35,0.0,4.5,94.0,1.5,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,81.05,86.85,93.3,1.8,0.0,0.0,0.0,9.69,4.15,1
14021211,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.4,32.65,2.0,48.0,0.0,91.1,1.2,3.0,97.0,77.33,84.93,91.03,1.67,0.0,0.0,0.0,11.22,6.28,1
14021212,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.2,32.25,1.5,48.5,0.0,91.12,1.2,3.0,72.0,80.47,87.6,91.83,1.57,0.3,1.68,0.26,8.79,5.98,0
14021213,80.86,1.36,0.0,3.43,94.57,2.0,84.34,1.08,0.1,2.29,96.54,1.17,54.03,32.37,1.33,32.0,0.0,91.6,1.2,3.0,97.0,80.73,87.7,92.03,1.57,0.6,3.3,0.53,8.74,5.73,0
14021214,81.05,1.35,0.0,3.5,94.5,2.0,84.34,1.08,0.1,2.29,96.54,1.17,54.87,32.4,2.67,64.0,0.0,91.5,1.2,4.0,96.0,79.57,86.9,91.57,1.4,0.0,0.0,0.0,9.6,6.77,1
14021215,80.93,1.36,0.0,3.43,94.29,2.29,84.34,1.08,0.1,2.29,96.54,1.17,54.5,32.3,4.0,96.0,0.0,91.15,1.2,4.5,95.5,77.7,86.0,90.3,1.6,0.9,5.15,0.78,10.02,6.67,2
14021216,80.85,1.23,0.0,2.5,93.75,3.75,84.34,1.08,0.1,2.29,96.54,1.17,54.43,32.8,2.33,64.33,0.0,91.1,1.2,2.0,64.67,80.5,86.75,92.8,1.6,0.0,0.0,0.0,9.86,5.01,1
14021217,80.83,1.36,0.0,3.45,94.36,2.18,84.34,1.08,0.1,2.29,96.54,1.17,55.3,32.8,3.0,97.0,0.0,91.22,1.2,11.0,64.0,80.87,87.4,92.53,1.5,0.3,1.48,0.24,9.23,5.71,2
14021218,82.23,1.07,0.0,3.11,94.67,2.22,98.45,0.4,0.0,3.0,97.0,0.0,55.07,33.61,2.68,82.3,0.14,91.0,1.2,4.0,96.0,81.27,87.23,93.17,1.8,0.0,0.0,0.0,9.26,4.29,3
14021219,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,55.1,33.1,4.0,96.0,0.0,91.0,1.2,4.5,95.5,80.42,86.82,92.64,1.64,0.18,0.94,0.14,9.71,5.12,2
14021220,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.8,33.3,4.0,96.0,0.0,91.2,1.2,4.0,96.0,81.6,87.47,93.3,1.67,0.3,1.58,0.24,9.19,4.55,2
14021221,81.69,1.22,0.13,2.14,96.18,1.68,80.1,1.4,0.0,0.0,94.0,6.0,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,80.4,87.03,92.37,1.7,0.31,1.84,0.26,9.37,5.38,0
14021222,81.69,1.22,0.13,2.14,96.18,1.68,75.47,1.83,0.0,4.0,91.67,4.33,55.1,33.1,3.0,97.0,0.0,91.3,1.2,4.33,95.67,82.35,88.0,93.6,1.95,0.44,2.48,0.66,8.43,3.74,0
14021223,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.7,33.7,3.0,97.0,0.0,91.25,1.2,2.67,64.0,81.87,87.73,93.3,1.97,0.0,0.0,0.0,8.62,3.98,1
14021224,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.8,33.3,1.0,99.0,0.0,90.88,1.3,4.75,70.25,80.27,86.67,92.6,1.8,0.3,1.78,0.26,9.7,4.59,0
14021225,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.65,33.2,1.5,48.5,0.0,91.0,1.2,5.0,95.0,80.45,87.0,92.5,1.75,0.0,0.0,0.0,9.37,4.83,1
14021226,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,90.98,1.2,4.4,95.6,81.93,87.57,93.57,1.77,0.3,1.82,0.27,9.05,4.12,2
