tar,Coke_1030(c),Coke_1030(s),Coke_1030(humidity),Coke_1030(s112),Coke_1030(s112_315),Coke_1030(s315),Coke_Fine(c),Coke_Fine(s),Coke_Fine(humidity),Coke_Fine(s05),Coke_Fine(s05_335),Coke_Fine(s335),dolomite(cao),dolomite(mgo),dolomite(s0_95),dolomite(s95_385),dolomite(s385_1000),lime(cao),lime(mgo),lime(s0_95),lime(s95_508),dri(fe_metal),dri(fe_total),dri(md),dri(c),dri(cao),dri(sio2),dri(mgo),dri(al2o3),dri(p),dri(mno),dri(gunge),dri(feo),dri(feo_c)
14021119,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.75,32.45,2.0,48.0,0.0,91.6,1.2,2.67,64.0,81.2,87.5,92.8,1.95,0.46,2.46,0.3,0.46,0.06,0.02,8.75,8.1,4.13
14021120,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.65,32.4,2.0,48.0,0.0,91.45,1.2,4.5,95.5,80.86,87.31,92.6,1.86,0.0,0.0,0.0,0.0,0.0,0.0,8.98,8.31,4.47
14021121,81.69,1.22,0.13,2.14,96.18,1.68,80.76,1.29,0.0,4.14,93.57,2.29,54.8,33.03,2.33,64.33,0.0,91.5,1.2,4.0,96.0,80.17,86.9,92.27,1.57,0.3,1.73,0.32,0.34,0.03,0.01,9.6,8.66,5.62
14021122,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.4,32.65,1.5,48.5,0.0,91.45,1.2,3.0,97.0,81.25,87.5,92.85,1.7,0.44,2.42,0.4,0.46,0.06,0.02,9.01,8.04,4.81
14021123,81.69,1.22,0.13,2.14,96.18,1.68,97.41,0.48,0.0,1.0,99.0,0.0,54.65,32.55,2.0,48.0,0.0,91.57,1.2,3.33,96.67,78.93,86.57,91.2,1.7,0.3,1.53,0.24,0.3,0.04,0.01,9.55,9.82,5.77
14021124,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.83,33.1,1.67,65.0,0.0,91.3,1.2,4.5,95.5,80.07,87.2,91.82,1.72,0.22,1.25,0.22,0.24,0.03,0.01,9.03,9.17,5.31
14021125,81.69,1.22,0.13,2.14,96.18,1.68,80.23,1.23,0.0,3.56,93.11,3.33,54.4,32.6,1.5,48.5,0.0,91.4,1.2,4.75,95.25,80.14,86.72,92.4,1.83,0.24,1.31,0.22,0.24,0.02,0.01,9.56,8.47,4.58
14021126,81.28,1.18,0.0,2.67,95.17,2.17,84.34,1.08,0.1,2.29,96.54,1.17,54.63,33.2,2.33,64.33,0.0,91.22,1.2,3.75,96.25,80.14,86.72,92.4,1.83,0.24,1.31,0.22,0.24,0.02,0.01,9.56,8.47,4.58
14021127,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.9,33.0,3.0,97.0,0.0,91.6,1.2,4.0,96.0,80.14,86.72,92.4,1.83,0.24,1.31,0.22,0.24,0.02,0.01,9.56,8.47,4.58
14021128,80.71,1.37,0.0,3.57,94.14,2.29,80.0,1.3,0.0,4.0,93.0,3.0,54.1,33.25,3.5,96.5,0.0,91.1,1.2,4.33,95.67,80.14,86.72,92.4,1.83,0.24,1.31,0.22,0.24,0.02,0.01,9.56,8.47,4.58
