heat_no,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels
4024660,22.5,37.1,20.9,9.5,4.1,0.8,0.177,1.08,0.9,1.28,2
4024665,22.6,38.6,19.5,9.6,3.8,0.732,0.173,1.16,0.97,1.38,2
4024670,21.8,39.7,19.2,9.7,3.8,0.658,0.183,1.14,0.95,1.37,2
4024675,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,2
4024680,26.9,26.9,24.6,10.8,5.1,0.864,0.201,1.09,0.91,1.27,3
4024685,26.2,30.6,22.3,10.7,4.4,0.783,0.214,1.17,0.98,1.38,3
4024690,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2
4024695,22.7,39.3,19.0,9.6,4.1,0.756,0.178,1.19,0.98,1.4,2
4024700,25.6,33.3,21.3,9.7,4.5,0.852,0.185,1.2,0.99,1.37,2
4024710,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,3
4024715,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,2
4024720,32.1,16.8,27.7,12.1,5.5,0.743,0.195,1.16,0.97,1.33,3
4024725,33.2,16.0,27.8,12.2,5.1,0.865,0.179,1.19,1.01,1.38,3
4024730,27.0,26.9,24.1,11.5,4.9,0.754,0.184,1.12,0.93,1.33,3
4024735,26.3,29.3,23.2,10.8,4.7,0.808,0.18,1.13,0.94,1.33,3
4024739,24.5,36.2,20.2,9.2,4.0,0.791,0.178,1.21,1.01,1.39,2
4024740,26.1,31.7,22.2,9.8,4.5,0.846,0.183,1.18,0.98,1.34,3
4024741,30.0,22.3,26.0,10.9,5.1,0.738,0.195,1.15,0.96,1.32,3
4024742,27.0,26.4,24.8,11.0,5.0,0.715,0.19,1.09,0.91,1.28,3
4024745,26.2,29.7,23.1,10.5,4.7,0.776,0.18,1.13,0.94,1.32,3
4024770,27.4,25.0,25.4,10.7,5.7,0.829,0.293,1.08,0.88,1.23,3
4024780,30.3,21.1,26.3,11.1,5.6,0.718,0.263,1.15,0.95,1.3,3
4024783,29.1,24.6,24.6,11.0,4.9,0.791,0.182,1.18,0.99,1.36,3
4024785,28.2,27.1,23.9,10.6,4.9,0.811,0.182,1.18,0.98,1.35,3
4024789,26.8,32.4,21.2,9.4,4.2,0.771,0.863,1.26,1.06,1.43,2
4024790,29.2,27.0,23.1,10.3,4.8,0.811,0.505,1.26,1.05,1.42,0
4024792,26.6,33.0,20.6,9.3,4.3,0.763,0.654,1.29,1.07,1.44,2
4024795,29.3,22.7,25.3,11.9,5.1,0.775,0.207,1.16,0.96,1.36,3
4024800,29.2,24.1,24.6,11.5,4.9,0.84,0.264,1.19,0.99,1.38,3
4024805,27.6,25.9,24.6,10.1,5.3,0.875,0.736,1.12,0.92,1.26,3
4024806,30.2,30.2,20.7,8.8,4.1,0.962,0.261,1.46,1.22,1.57,0
4024808,29.0,31.7,20.2,9.1,4.1,0.826,0.296,1.44,1.19,1.57,0
4024815,26.1,36.4,18.3,9.6,3.6,0.882,0.2,1.43,1.19,1.63,2
4024820,26.6,37.0,17.8,9.5,3.6,0.886,0.198,1.49,1.24,1.69,2
4024825,24.0,41.3,16.3,9.2,3.4,0.87,0.158,1.47,1.22,1.69,2
4024827,22.9,42.6,15.8,9.6,3.6,0.759,0.154,1.45,1.18,1.68,2
4024835,22.8,44.3,15.0,8.3,3.4,0.676,0.657,1.52,1.24,1.69,2
4024840,22.8,44.9,14.9,8.4,3.2,0.684,0.544,1.53,1.26,1.72,2
4024855,23.5,41.2,17.1,8.9,3.4,0.655,0.614,1.37,1.15,1.58,2
4024875,25.8,35.8,19.0,9.4,3.8,0.793,0.541,1.36,1.13,1.54,2
4024882,31.1,22.9,25.6,10.0,4.6,1.002,0.189,1.21,1.03,1.36,3
4024883,25.6,34.9,20.6,9.4,3.9,0.925,0.162,1.24,1.04,1.43,2
4024884,24.4,35.0,21.1,9.9,4.0,0.94,0.167,1.16,0.97,1.37,2
4024885,23.2,39.6,18.8,9.2,3.6,0.95,0.163,1.23,1.04,1.45,2
4024890,30.4,25.3,23.1,11.1,4.2,0.999,0.151,1.32,1.11,1.52,0
4024895,32.9,20.1,25.4,11.2,4.6,0.934,0.199,1.3,1.1,1.47,3
4024900,32.4,19.4,26.8,10.3,5.2,0.818,0.234,1.21,1.01,1.33,3
4024905,29.5,26.8,22.7,10.7,4.4,0.827,0.208,1.3,1.09,1.48,0
4024911,26.2,31.4,22.1,10.4,4.0,0.841,0.171,1.19,1.0,1.4,2
4024915,26.6,32.0,22.2,9.7,4.1,0.813,0.168,1.2,1.01,1.38,3
4024920,26.8,32.0,21.7,9.8,4.2,0.832,0.175,1.24,1.03,1.41,0
4024922,26.0,36.6,19.1,8.9,3.8,0.778,0.191,1.36,1.14,1.52,2
4024923,25.5,36.0,19.6,9.1,4.0,0.846,0.175,1.3,1.08,1.47,2
4024924,23.1,41.6,17.2,8.7,3.5,0.722,0.426,1.34,1.12,1.54,2
4024927,19.0,46.9,16.4,8.9,3.4,0.645,0.17,1.16,0.96,1.41,2
4024928,21.3,44.7,16.6,8.4,3.5,0.8,0.157,1.28,1.06,1.48,2
4024932,23.9,39.2,17.9,9.6,3.7,0.808,0.162,1.34,1.11,1.55,2
4024933,23.2,39.2,18.0,10.3,3.8,0.791,0.164,1.29,1.06,1.54,2
4024935,21.7,44.0,16.1,9.1,3.2,0.726,0.174,1.35,1.12,1.6,2
4024937,21.0,44.9,16.1,8.6,3.6,0.771,0.162,1.3,1.07,1.5,2
4024939,22.0,41.9,17.2,9.5,3.5,0.778,0.161,1.28,1.06,1.52,2
4024941,21.3,44.3,16.0,9.3,3.4,0.749,0.163,1.33,1.1,1.58,2
4024947,23.6,40.8,18.5,7.6,3.8,0.78,0.163,1.28,1.06,1.4,2
4024948,23.3,39.4,18.2,9.5,3.8,0.859,0.165,1.28,1.06,1.49,2
4024950,25.7,32.8,21.5,9.9,4.4,0.758,0.183,1.2,0.99,1.37,2
4024955,25.6,35.0,20.1,10.0,4.0,0.798,0.169,1.27,1.06,1.48,2
4024960,23.4,38.8,19.3,9.5,3.7,0.821,0.163,1.21,1.02,1.43,2
4024965,24.6,39.1,18.3,9.0,3.7,0.741,0.168,1.34,1.12,1.53,2
4024975,24.5,36.3,20.1,9.7,4.1,0.79,0.179,1.22,1.01,1.41,2
4024977,24.8,36.9,19.3,9.7,4.0,0.765,0.192,1.28,1.06,1.48,2
4024978,22.7,44.0,15.8,8.5,3.6,0.711,0.16,1.44,1.17,1.61,2
4024980,23.3,40.3,17.3,9.8,4.0,0.761,0.166,1.35,1.09,1.55,2
4024982,23.4,38.4,18.8,9.7,4.2,0.841,0.205,1.24,1.02,1.44,2
4024983,23.0,38.6,18.8,10.3,4.0,0.757,0.167,1.22,1.01,1.46,2
4024990,22.5,42.7,16.5,9.3,3.4,0.707,0.159,1.36,1.13,1.6,2
4024995,22.3,43.4,16.1,9.2,3.3,0.722,0.164,1.39,1.15,1.62,2
4025000,20.4,45.4,15.9,9.5,3.3,0.697,0.148,1.28,1.06,1.56,2
4025004,21.0,46.6,14.5,8.7,3.5,0.681,0.208,1.45,1.17,1.65,2
4025010,19.8,47.0,16.2,8.0,3.3,0.686,0.198,1.22,1.02,1.43,2
4025015,18.0,49.7,14.7,8.8,3.1,0.676,0.138,1.22,1.01,1.51,2
4025020,21.7,43.2,17.5,8.4,3.6,0.765,0.153,1.24,1.03,1.43,2
4025025,22.0,44.3,16.5,8.3,3.4,0.796,0.173,1.33,1.11,1.52,2
4025030,26.0,37.8,17.6,9.3,3.6,0.823,0.216,1.48,1.23,1.67,2
4025035,28.2,28.5,22.7,10.2,4.5,0.755,0.241,1.24,1.04,1.41,3
4025040,25.9,32.9,20.5,10.8,4.0,0.779,0.192,1.26,1.06,1.5,2
4025045,19.8,46.8,15.8,8.6,3.3,0.711,0.168,1.25,1.04,1.49,2
4025046,25.5,32.0,20.6,12.1,4.2,0.748,0.188,1.24,1.03,1.52,2
4025047,25.0,35.1,19.5,10.7,4.0,0.814,0.172,1.28,1.06,1.52,2
4025048,27.4,30.2,21.6,10.9,4.2,0.781,0.186,1.27,1.06,1.48,0
4025060,27.9,28.2,22.8,11.0,4.5,0.862,0.188,1.22,1.02,1.42,3
4025065,28.2,27.0,23.5,11.2,4.6,0.834,0.2,1.2,1.0,1.4,3
4025075,30.5,21.8,25.5,11.0,5.2,0.806,0.224,1.2,0.99,1.35,3
4025080,29.9,23.8,25.0,10.6,4.9,0.745,0.225,1.2,1.0,1.35,3
4025085,27.7,27.3,23.2,11.5,4.6,0.842,0.181,1.19,1.0,1.41,3
4025095,28.3,28.3,22.7,10.5,4.5,0.869,0.215,1.25,1.04,1.43,3
4025100,28.3,27.0,23.6,10.7,4.6,0.84,0.221,1.2,1.0,1.38,3
4025103,29.4,24.5,24.7,10.6,4.9,0.835,0.185,1.19,0.99,1.35,3
4025104,27.4,32.7,20.6,9.9,4.0,0.822,0.157,1.33,1.11,1.52,2
4025110,32.1,20.4,24.7,12.3,4.8,0.885,0.165,1.3,1.09,1.51,3
4025115,29.5,27.3,22.8,10.2,4.5,0.876,0.19,1.29,1.08,1.45,0
4025120,27.1,23.9,26.4,11.3,5.8,0.598,0.248,1.03,0.84,1.19,3
4025125,26.9,25.5,25.0,11.7,5.0,0.782,0.181,1.08,0.9,1.29,3
4025135,27.7,29.1,22.5,10.2,4.6,0.89,0.179,1.23,1.02,1.4,3
4025138,29.8,23.6,26.1,9.4,5.0,0.936,0.192,1.14,0.96,1.26,3
4025140,28.1,27.5,24.5,9.4,4.8,0.882,0.199,1.15,0.96,1.28,3
4025145,26.2,30.6,22.7,10.1,4.4,0.848,0.179,1.15,0.97,1.34,3
4025146,29.2,27.1,22.8,10.6,4.3,0.898,0.178,1.28,1.08,1.47,0
4025147,28.2,30.0,22.3,9.4,4.2,0.874,0.169,1.26,1.06,1.42,0
4025150,25.9,30.6,22.7,10.6,4.5,0.846,0.179,1.14,0.95,1.34,3
4025151,25.8,32.9,21.7,9.8,4.2,0.812,0.17,1.19,1.0,1.37,2
4025153,25.4,30.1,23.1,11.1,4.7,0.839,0.178,1.1,0.91,1.31,3
4025155,27.3,30.7,22.4,9.7,4.3,0.897,0.168,1.22,1.02,1.39,0
4025160,29.3,27.3,22.7,10.4,4.4,0.938,0.174,1.29,1.08,1.47,0
4025163,28.8,23.8,25.3,11.2,5.1,0.76,0.218,1.14,0.95,1.32,3
4025165,28.0,27.5,23.2,10.6,4.8,0.856,0.189,1.21,1.0,1.38,3
4025169,26.6,29.8,23.4,10.3,4.5,0.861,0.178,1.14,0.95,1.32,3
4025170,23.5,35.3,20.9,10.7,4.0,0.804,0.174,1.12,0.94,1.37,2
4025174,24.8,33.0,21.5,10.7,4.6,0.85,0.178,1.15,0.95,1.36,2
4025180,23.9,34.7,20.6,11.0,4.2,0.856,0.174,1.16,0.96,1.41,2
4025188,25.5,30.5,23.2,10.5,4.5,0.807,0.195,1.1,0.92,1.3,3
4025190,24.6,32.8,22.2,10.3,4.3,0.752,0.202,1.11,0.93,1.32,2
4025193,25.3,28.5,24.5,11.0,4.9,0.775,0.194,1.03,0.86,1.23,3
4025195,24.1,33.7,21.8,10.2,4.5,0.813,0.182,1.11,0.92,1.3,2
4025199,24.2,33.7,22.1,9.9,4.3,0.779,0.179,1.1,0.92,1.29,2
4025200,23.0,36.1,21.0,9.9,4.3,0.823,0.177,1.1,0.91,1.3,2
4025203,25.6,30.3,23.0,10.3,4.8,0.91,0.2,1.11,0.92,1.29,2
4025205,26.4,30.5,22.3,10.5,4.5,0.874,0.186,1.18,0.99,1.38,3
4025207,27.0,28.7,23.4,10.3,4.8,0.868,0.194,1.15,0.96,1.32,3
4025210,24.5,31.7,23.0,10.4,4.5,0.89,0.195,1.07,0.89,1.27,2
4025215,26.6,30.5,22.2,10.6,4.4,0.834,0.264,1.2,1.0,1.4,3
4025217,25.0,33.1,21.5,10.8,4.1,0.832,0.205,1.16,0.98,1.4,2
4025220,24.8,31.9,22.9,10.3,4.5,0.92,0.191,1.08,0.91,1.28,2
4025224,25.3,32.3,21.9,10.5,4.4,0.926,0.221,1.16,0.96,1.36,2
4025225,28.4,24.1,25.1,11.2,5.4,0.977,0.299,1.13,0.93,1.3,3
4025229,28.4,25.8,24.4,10.9,4.8,0.955,0.244,1.16,0.97,1.35,3
4025230,29.2,25.0,24.7,10.4,5.0,0.926,0.233,1.18,0.98,1.33,3
4025233,27.2,28.0,23.2,11.3,4.7,0.913,0.207,1.17,0.97,1.38,3
4025235,26.0,29.2,23.1,11.6,4.6,0.884,0.197,1.13,0.94,1.36,3
4025245,26.4,31.3,21.7,10.1,4.6,0.801,0.217,1.22,1.0,1.39,3
4025250,24.5,32.8,21.8,10.4,4.5,0.88,0.213,1.12,0.93,1.33,2
4025255,25.1,29.0,24.0,11.7,4.7,0.832,0.2,1.05,0.87,1.28,3
4025257,29.2,23.4,25.1,11.7,4.8,0.91,0.209,1.16,0.98,1.37,3
4025260,29.8,22.9,25.1,11.6,5.0,0.923,0.215,1.19,0.99,1.38,3
4025262,29.5,22.3,25.6,11.7,5.1,0.97,0.217,1.15,0.96,1.34,3
4025274,23.3,35.4,21.4,10.2,4.2,0.782,0.166,1.09,0.91,1.31,2
4025275,23.8,35.4,21.1,9.8,4.4,0.8,0.175,1.13,0.93,1.32,2
4025279,21.7,39.8,19.2,9.7,3.9,0.731,0.163,1.13,0.94,1.36,2
4025280,22.5,37.0,20.8,9.9,4.1,0.707,0.201,1.08,0.9,1.3,2
4025285,24.3,33.7,21.8,9.8,4.5,0.819,0.203,1.11,0.92,1.3,2
4025290,22.4,37.3,20.5,9.9,4.1,0.791,0.191,1.09,0.91,1.31,2
4025293,27.8,28.9,23.2,9.6,4.4,1.014,0.176,1.2,1.01,1.36,3
4025295,26.3,31.4,22.1,10.0,4.3,0.955,0.19,1.19,1.0,1.37,2
4025298,29.1,27.4,23.0,9.9,4.7,0.925,0.206,1.27,1.05,1.41,3
4025300,25.1,31.5,22.3,10.9,4.5,0.915,0.211,1.12,0.93,1.34,2
4025305,24.9,32.7,21.6,10.8,4.4,0.831,0.214,1.15,0.96,1.37,2
4025307,23.6,35.6,20.4,10.4,4.3,0.904,0.204,1.16,0.96,1.38,2
4025314,25.0,33.0,21.1,11.1,4.2,0.774,0.18,1.18,0.99,1.43,2
4025315,24.6,31.8,22.3,11.2,4.5,0.861,0.182,1.1,0.92,1.34,2
4025316,22.9,35.3,20.6,11.4,4.1,0.884,0.192,1.11,0.93,1.39,2
4025320,22.6,35.5,20.6,11.5,4.1,0.871,0.182,1.1,0.91,1.38,2
4025325,24.9,32.1,22.5,10.0,4.6,0.884,0.211,1.11,0.92,1.29,2
4025329,24.0,32.9,21.7,11.0,4.4,0.906,0.214,1.11,0.92,1.34,2
4025330,23.8,33.1,21.8,11.0,4.4,0.909,0.222,1.09,0.91,1.33,2
4025335,21.5,39.2,19.7,9.7,4.0,0.869,0.226,1.09,0.91,1.32,2
4025340,21.0,41.3,19.1,9.0,3.8,0.864,0.191,1.1,0.92,1.31,2
4025343,21.1,40.7,19.6,8.9,3.9,0.848,0.175,1.08,0.9,1.28,2
4025350,20.9,43.2,17.2,9.7,3.5,0.822,0.213,1.22,1.01,1.48,2
4025355,23.9,36.5,20.1,9.8,4.2,0.862,0.196,1.19,0.98,1.39,2
4025370,22.2,38.9,19.5,9.9,4.1,0.764,0.205,1.14,0.94,1.36,2
4025375,23.2,37.7,19.5,10.1,3.9,0.841,0.248,1.19,0.99,1.42,2
4025378,22.8,37.6,19.7,10.4,4.0,0.82,0.224,1.16,0.96,1.4,2
4025380,21.9,40.0,18.7,10.3,3.7,0.825,0.186,1.17,0.98,1.44,2
4025383,22.1,37.4,20.3,10.6,4.2,0.865,0.201,1.09,0.9,1.33,2
4025385,23.4,37.9,18.6,10.6,3.9,0.802,0.394,1.26,1.04,1.51,2
4025390,23.0,36.9,18.5,12.7,3.7,0.799,0.191,1.24,1.04,1.61,2
4025395,21.5,39.7,19.0,10.0,4.1,0.8,0.195,1.13,0.93,1.36,2
4025400,25.3,31.3,23.1,9.8,4.5,0.902,0.188,1.1,0.92,1.27,2
4025405,25.9,26.9,25.0,11.3,5.1,0.802,0.208,1.04,0.86,1.24,3
4025410,25.7,29.3,24.0,10.3,5.0,0.86,0.203,1.07,0.89,1.24,3
4025415,23.4,38.1,19.8,9.2,4.0,0.794,0.175,1.18,0.98,1.37,2
4025420,22.5,35.9,22.8,8.6,4.6,0.785,0.183,0.99,0.82,1.14,2
4025423,26.9,26.2,25.4,10.7,5.2,0.822,0.187,1.06,0.88,1.23,3
4025425,24.6,31.8,22.8,10.4,4.7,0.855,0.191,1.08,0.89,1.27,2
4025428,23.7,32.2,23.0,10.8,4.7,0.757,0.184,1.03,0.86,1.25,3
4025434,26.5,26.4,25.6,10.7,5.0,0.872,0.235,1.04,0.87,1.22,3
4025435,27.4,24.2,25.9,11.4,5.4,0.724,0.22,1.06,0.88,1.24,3
4025437,27.2,26.5,25.0,10.6,5.0,0.81,0.223,1.09,0.91,1.26,3
4025440,26.8,27.4,24.5,10.7,4.9,0.78,0.204,1.09,0.91,1.28,3
4025445,30.3,18.9,27.3,12.3,5.4,0.938,0.202,1.11,0.93,1.3,3
4025448,31.5,19.6,26.5,11.5,5.2,0.926,0.194,1.19,0.99,1.36,3
4025450,27.4,28.9,25.6,11.8,0.5,0.932,0.204,1.07,1.05,1.5,2
4025452,27.8,23.3,25.8,12.1,5.3,0.781,0.197,1.08,0.89,1.28,3
4025455,27.0,25.3,25.1,11.7,5.3,0.807,0.208,1.08,0.89,1.27,3
4025457,23.0,32.6,23.9,10.2,4.8,0.764,0.204,0.96,0.8,1.16,2
4025460,24.1,32.4,23.1,10.3,4.6,0.846,0.192,1.04,0.87,1.24,2
4025461,20.8,38.3,21.5,9.3,4.2,0.772,0.177,0.97,0.81,1.17,2
4025465,22.1,35.9,21.9,9.7,4.5,0.808,0.181,1.01,0.84,1.2,2
4025467,20.7,37.7,22.0,9.4,4.3,0.732,0.175,0.94,0.79,1.14,2
4025470,24.5,33.2,22.1,9.9,4.4,0.804,0.175,1.11,0.92,1.3,2
4025472,21.5,36.7,22.0,9.7,4.3,0.79,0.169,0.98,0.82,1.19,2
4025475,23.8,33.1,22.2,10.5,4.5,0.847,0.182,1.07,0.89,1.28,2
4025480,23.9,31.2,23.9,10.5,4.9,0.753,0.198,1.0,0.83,1.19,3
4025484,24.0,32.1,22.1,11.3,4.8,0.811,0.188,1.09,0.89,1.31,2
4025485,24.5,31.9,22.4,11.0,4.5,0.835,0.176,1.09,0.91,1.32,2
4025488,24.0,31.8,23.4,10.8,4.5,0.745,0.182,1.03,0.86,1.25,3
4025490,23.9,33.3,22.5,10.4,4.4,0.834,0.174,1.06,0.89,1.28,2
4025495,25.9,29.0,24.0,10.5,4.9,0.868,0.209,1.08,0.9,1.26,3
4025500,27.0,26.8,24.8,10.5,5.3,0.872,0.205,1.09,0.9,1.25,3
4025503,24.5,28.8,24.6,11.5,5.1,0.758,0.183,1.0,0.82,1.21,3
4025505,22.8,34.2,22.5,9.9,5.1,0.755,0.254,1.01,0.83,1.18,2
4025510,21.1,37.8,21.5,9.9,4.1,0.82,0.168,0.98,0.82,1.21,2
4025518,21.3,39.7,19.6,9.9,3.9,0.789,0.222,1.09,0.91,1.33,2
4025520,23.2,38.2,19.8,9.4,3.8,0.792,0.186,1.17,0.98,1.38,2
4025523,20.5,39.2,20.7,9.9,4.1,0.788,0.175,0.99,0.83,1.23,2
4025525,21.6,35.1,22.4,10.3,4.6,0.798,0.183,0.96,0.8,1.18,2
4025527,23.1,34.6,21.8,10.1,4.5,0.903,0.169,1.06,0.88,1.26,2
4025535,21.5,36.1,22.8,9.4,4.4,0.762,0.158,0.94,0.79,1.14,2
4025539,21.0,39.6,19.9,9.6,4.0,0.822,0.164,1.06,0.88,1.28,2
4025540,20.8,40.4,19.5,9.4,3.9,0.825,0.164,1.07,0.89,1.29,2
4025545,21.2,40.4,19.3,9.2,4.3,0.818,0.172,1.1,0.9,1.29,2
4025550,22.1,36.4,20.4,10.0,5.3,0.854,0.209,1.08,0.86,1.25,2
4025555,19.2,41.6,18.4,11.5,3.8,0.786,0.221,1.04,0.86,1.38,2
4025559,23.1,33.6,22.2,10.9,4.6,0.798,0.187,1.04,0.86,1.27,2
4025565,20.5,38.9,19.9,10.9,4.0,0.762,0.161,1.03,0.86,1.31,2
4025570,23.8,17.8,23.0,24.7,5.0,0.725,0.219,1.03,0.85,1.73,1
4025572,27.7,25.5,24.5,11.8,4.6,0.892,0.178,1.13,0.95,1.36,3
