heat_no,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels
4032645,25.1,26.1,22.0,16.3,5.4,0.398,0.23,1.14,0.92,1.51,1
4032648,25.7,17.1,27.3,17.7,6.9,0.243,0.503,0.94,0.75,1.27,1
4032650,23.4,29.4,22.6,13.6,5.4,0.495,0.268,1.04,0.84,1.32,1
4032654,20.2,41.7,17.7,10.9,4.0,0.352,0.286,1.14,0.93,1.43,2
4032655,25.8,31.7,20.5,12.1,4.4,0.378,0.244,1.26,1.04,1.52,1
4032656,28.0,29.3,19.7,12.8,4.7,0.374,0.237,1.42,1.15,1.67,1
4032657,26.2,28.3,21.2,13.7,5.1,0.384,0.239,1.24,1.0,1.52,1
4032660,26.4,25.9,21.8,15.2,5.2,0.323,0.246,1.21,0.98,1.54,1
4032663,23.9,30.5,21.9,12.9,5.3,0.417,0.241,1.09,0.88,1.35,1
4032665,25.6,25.8,23.6,13.7,5.8,0.408,0.237,1.08,0.87,1.34,1
4032667,23.6,28.8,22.9,13.8,5.4,0.426,0.212,1.03,0.83,1.32,1
4032670,23.4,27.5,24.3,13.8,5.4,0.345,0.234,0.96,0.79,1.25,1
4032672,22.5,31.7,22.3,13.1,4.9,0.392,0.235,1.01,0.83,1.31,1
4032675,20.5,35.7,22.3,11.5,4.6,0.399,0.228,0.92,0.76,1.19,1
4032678,26.7,21.9,25.6,14.7,5.9,0.37,0.234,1.04,0.85,1.31,1
4032680,21.8,35.2,20.2,12.8,4.7,0.425,0.221,1.08,0.88,1.39,1
4032683,22.0,33.3,21.7,13.0,4.9,0.392,0.212,1.01,0.83,1.32,1
4032685,26.0,22.6,25.2,14.7,6.2,0.401,0.25,1.03,0.83,1.3,1
4032687,27.5,27.0,21.7,13.3,5.3,0.387,0.25,1.27,1.02,1.51,1
4032690,27.4,26.9,21.9,13.4,5.4,0.392,0.242,1.25,1.0,1.49,1
4032693,28.6,25.3,23.0,12.9,5.1,0.345,0.275,1.24,1.02,1.48,1
4032695,26.4,28.1,21.9,13.2,5.3,0.407,0.238,1.21,0.97,1.46,1
4032698,27.4,21.4,24.7,15.6,5.8,0.362,0.235,1.11,0.9,1.41,1
4032700,25.7,27.2,22.2,14.9,5.0,0.345,0.218,1.16,0.94,1.49,1
4032703,29.0,20.0,25.1,15.2,5.6,0.373,0.255,1.16,0.94,1.44,1
4032708,27.6,26.0,22.4,13.5,4.8,0.453,0.23,1.23,1.01,1.51,1
4032710,25.0,30.2,20.8,13.8,4.7,0.381,0.221,1.2,0.98,1.52,1
4032715,27.0,23.1,23.1,15.6,5.7,0.354,0.243,1.17,0.94,1.48,1
4032717,27.0,23.0,23.2,15.6,5.6,0.354,0.241,1.16,0.94,1.48,1
4032720,29.2,20.2,24.2,15.4,5.5,0.326,0.283,1.21,0.98,1.5,1
4032722,24.0,30.3,20.2,15.6,4.4,0.311,0.215,1.19,0.98,1.61,1
4032730,31.1,14.2,26.4,16.6,6.2,0.27,0.716,1.18,0.95,1.46,1
4032734,28.8,17.2,26.3,16.3,6.0,0.285,0.475,1.1,0.89,1.4,1
4032735,28.7,20.7,24.6,14.6,6.1,0.365,0.405,1.17,0.93,1.41,1
4032740,31.4,24.6,20.0,13.9,4.5,0.486,0.218,1.57,1.28,1.85,0
4032745,28.0,19.5,26.5,14.7,5.8,0.455,0.242,1.06,0.87,1.32,1
4032748,31.8,13.3,28.2,14.8,6.5,0.369,0.249,1.13,0.92,1.34,1
4032750,27.1,24.9,21.6,16.0,4.9,0.318,0.219,1.25,1.02,1.63,1
4032753,31.6,17.2,26.1,13.9,5.4,0.552,0.264,1.21,1.0,1.44,1
4032755,26.1,24.7,23.5,14.9,5.3,0.314,0.312,1.11,0.91,1.42,1
4032758,30.5,14.3,28.9,14.8,6.1,0.284,0.402,1.06,0.87,1.29,1
4032762,29.5,15.6,28.8,14.0,6.8,0.318,0.378,1.02,0.83,1.22,1
4032765,28.1,22.9,25.7,12.7,5.2,0.418,0.339,1.09,0.91,1.32,1
4032769,28.8,15.3,28.6,15.5,6.2,0.251,0.502,1.01,0.83,1.27,1
4032775,30.7,17.3,28.8,12.2,5.6,0.351,0.329,1.07,0.89,1.25,1
4032778,28.8,23.3,25.6,11.5,5.3,0.454,0.323,1.13,0.94,1.31,1
4032780,28.0,21.3,27.3,12.6,5.6,0.416,0.357,1.03,0.85,1.23,1
4032796,25.2,27.2,23.8,13.3,5.4,0.354,0.279,1.06,0.86,1.32,1
4032800,28.6,17.3,27.8,15.2,6.0,0.305,0.342,1.03,0.85,1.3,1
4032805,29.6,16.8,27.5,15.1,5.9,0.275,0.374,1.08,0.89,1.34,1
