heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4033010,14030621,26.6,31.2,22.6,10.4,3.5,0.856,0.165,1.18,1.02,1.42
4033013,14030621,26.1,32.6,21.9,9.9,3.7,0.832,0.168,1.19,1.02,1.41
4033020,14030622,24.9,34.6,21.1,10.5,3.5,0.808,0.171,1.18,1.01,1.44
4033026,14030622,24.7,37.6,19.3,9.1,3.9,0.788,0.186,1.28,1.06,1.46
4033031,14030622,21.4,41.4,18.5,10.3,3.2,0.704,0.154,1.16,0.99,1.46
4033034,14030622,23.0,37.9,20.3,10.1,3.4,0.797,0.163,1.13,0.97,1.4
4033038,14030622,23.9,36.9,20.3,9.9,3.5,0.769,0.178,1.18,1.0,1.42
4033035,14030623,26.1,36.9,18.8,9.1,3.2,0.784,0.159,1.39,1.19,1.6
4033042,14030623,24.8,36.1,20.2,9.6,3.5,0.772,0.159,1.23,1.05,1.45
4033045,14030623,26.3,35.7,19.0,9.6,3.4,0.813,0.169,1.38,1.17,1.6
4033052,14030623,25.6,34.9,20.2,9.8,3.6,0.81,0.183,1.27,1.08,1.49
4033054,14030623,25.3,35.2,20.2,9.9,3.5,0.808,0.182,1.25,1.07,1.49
4033065,14030625,22.0,40.2,18.7,9.9,3.4,0.747,0.171,1.18,1.0,1.44
4033070,14030625,26.9,29.6,22.9,10.6,4.1,0.83,0.203,1.17,1.0,1.39
4033075,14030625,24.2,35.1,21.2,10.2,3.7,0.779,0.174,1.14,0.97,1.38
4033080,14030625,24.3,39.2,17.6,10.3,3.2,0.744,0.227,1.38,1.17,1.66
4033085,14030626,23.1,41.0,18.2,9.0,3.4,0.78,0.155,1.27,1.07,1.49
4033089,14030626,20.7,44.6,17.3,8.9,3.2,0.713,0.152,1.2,1.01,1.44
4033105,14030627,25.6,35.7,19.9,9.2,3.7,0.815,0.198,1.29,1.08,1.47
4033112,14030627,29.4,33.0,18.9,8.6,4.3,0.856,0.222,1.56,1.27,1.64
4033115,14030627,29.6,26.8,22.8,11.0,3.9,0.823,0.22,1.3,1.11,1.52
4033118,14030628,26.4,30.5,23.2,10.3,4.1,0.853,0.183,1.14,0.97,1.34
4033120,14030628,32.1,19.8,25.8,12.1,4.7,0.797,0.222,1.24,1.05,1.45
4033125,14030628,33.4,21.2,23.7,11.9,4.4,0.829,0.21,1.41,1.19,1.61
4033130,14030628,31.5,23.2,24.1,11.3,4.4,0.749,0.205,1.31,1.11,1.5
4033139,14030628,30.6,25.8,22.9,10.8,4.1,0.815,0.212,1.34,1.13,1.53
4033140,14030629,28.9,31.3,19.8,10.7,3.6,0.797,0.197,1.46,1.24,1.69
4033150,14030629,27.7,31.4,20.8,10.8,3.8,0.768,0.192,1.33,1.13,1.57
4033152,14030629,24.1,39.9,17.8,9.6,3.3,0.622,0.193,1.35,1.14,1.6
4033155,14030629,26.6,35.9,18.3,10.2,3.5,0.707,0.194,1.45,1.22,1.69
4033162,14030630,27.9,34.3,18.5,10.3,3.5,0.714,0.183,1.51,1.27,1.74
4033166,14030630,29.1,25.9,23.4,11.8,4.4,0.764,0.224,1.24,1.05,1.47
4033170,14030630,28.3,31.5,21.2,9.8,3.7,0.742,0.202,1.33,1.14,1.53
4033175,14030630,26.2,37.1,18.7,9.1,3.5,0.719,0.209,1.4,1.18,1.59
4033181,14030630,25.1,37.7,19.1,9.2,3.5,0.757,0.307,1.31,1.11,1.52
4033186,14030701,30.3,29.9,21.0,8.9,4.0,0.867,0.299,1.44,1.21,1.57
