heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4024660,14020915,22.5,37.1,20.9,9.5,4.1,0.8,0.177,1.08,0.9,1.28
4024665,14020915,22.6,38.6,19.5,9.6,3.8,0.732,0.173,1.16,0.97,1.38
4024670,14020915,21.8,39.7,19.2,9.7,3.8,0.658,0.183,1.14,0.95,1.37
4024675,14020915,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25
4024680,14020915,26.9,26.9,24.6,10.8,5.1,0.864,0.201,1.09,0.91,1.27
4024685,14020916,26.2,30.6,22.3,10.7,4.4,0.783,0.214,1.17,0.98,1.38
4024690,14020916,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45
4024695,14020916,22.7,39.3,19.0,9.6,4.1,0.756,0.178,1.19,0.98,1.4
4024700,14020916,25.6,33.3,21.3,9.7,4.5,0.852,0.185,1.2,0.99,1.37
4024710,14020917,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29
4024715,14020917,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27
4024720,14020918,32.1,16.8,27.7,12.1,5.5,0.743,0.195,1.16,0.97,1.33
4024725,14020918,33.2,16.0,27.8,12.2,5.1,0.865,0.179,1.19,1.01,1.38
4024730,14020918,27.0,26.9,24.1,11.5,4.9,0.754,0.184,1.12,0.93,1.33
4024735,14020918,26.3,29.3,23.2,10.8,4.7,0.808,0.18,1.13,0.94,1.33
4024739,14020918,24.5,36.2,20.2,9.2,4.0,0.791,0.178,1.21,1.01,1.39
4024740,14020918,26.1,31.7,22.2,9.8,4.5,0.846,0.183,1.18,0.98,1.34
4024741,14020918,30.0,22.3,26.0,10.9,5.1,0.738,0.195,1.15,0.96,1.32
4024742,14020918,27.0,26.4,24.8,11.0,5.0,0.715,0.19,1.09,0.91,1.28
4024745,14020919,26.2,29.7,23.1,10.5,4.7,0.776,0.18,1.13,0.94,1.32
4024770,14020921,27.4,25.0,25.4,10.7,5.7,0.829,0.293,1.08,0.88,1.23
4024780,14020921,30.3,21.1,26.3,11.1,5.6,0.718,0.263,1.15,0.95,1.3
4024783,14020921,29.1,24.6,24.6,11.0,4.9,0.791,0.182,1.18,0.99,1.36
4024785,14020922,28.2,27.1,23.9,10.6,4.9,0.811,0.182,1.18,0.98,1.35
4024789,14020922,26.8,32.4,21.2,9.4,4.2,0.771,0.863,1.26,1.06,1.43
4024790,14020922,29.2,27.0,23.1,10.3,4.8,0.811,0.505,1.26,1.05,1.42
4024792,14020922,26.6,33.0,20.6,9.3,4.3,0.763,0.654,1.29,1.07,1.44
4024795,14020922,29.3,22.7,25.3,11.9,5.1,0.775,0.207,1.16,0.96,1.36
4024800,14020922,29.2,24.1,24.6,11.5,4.9,0.84,0.264,1.19,0.99,1.38
4024805,14020922,27.6,25.9,24.6,10.1,5.3,0.875,0.736,1.12,0.92,1.26
4024806,14020922,30.2,30.2,20.7,8.8,4.1,0.962,0.261,1.46,1.22,1.57
4024808,14020922,29.0,31.7,20.2,9.1,4.1,0.826,0.296,1.44,1.19,1.57
4024815,14020923,26.1,36.4,18.3,9.6,3.6,0.882,0.2,1.43,1.19,1.63
4024820,14020923,26.6,37.0,17.8,9.5,3.6,0.886,0.198,1.49,1.24,1.69
4024825,14020923,24.0,41.3,16.3,9.2,3.4,0.87,0.158,1.47,1.22,1.69
4024827,14020923,22.9,42.6,15.8,9.6,3.6,0.759,0.154,1.45,1.18,1.68
4024835,14020924,22.8,44.3,15.0,8.3,3.4,0.676,0.657,1.52,1.24,1.69
4024840,14020925,22.8,44.9,14.9,8.4,3.2,0.684,0.544,1.53,1.26,1.72
4024855,14020925,23.5,41.2,17.1,8.9,3.4,0.655,0.614,1.37,1.15,1.58
4024875,14020927,25.8,35.8,19.0,9.4,3.8,0.793,0.541,1.36,1.13,1.54
4024882,14020927,31.1,22.9,25.6,10.0,4.6,1.002,0.189,1.21,1.03,1.36
4024883,14020927,25.6,34.9,20.6,9.4,3.9,0.925,0.162,1.24,1.04,1.43
4024884,14020927,24.4,35.0,21.1,9.9,4.0,0.94,0.167,1.16,0.97,1.37
4024885,14020927,23.2,39.6,18.8,9.2,3.6,0.95,0.163,1.23,1.04,1.45
4024890,14020928,30.4,25.3,23.1,11.1,4.2,0.999,0.151,1.32,1.11,1.52
4024895,14020928,32.9,20.1,25.4,11.2,4.6,0.934,0.199,1.3,1.1,1.47
4024900,14020929,32.4,19.4,26.8,10.3,5.2,0.818,0.234,1.21,1.01,1.33
4024905,14020929,29.5,26.8,22.7,10.7,4.4,0.827,0.208,1.3,1.09,1.48
4024911,14020929,26.2,31.4,22.1,10.4,4.0,0.841,0.171,1.19,1.0,1.4
4024915,14020929,26.6,32.0,22.2,9.7,4.1,0.813,0.168,1.2,1.01,1.38
4024920,14020929,26.8,32.0,21.7,9.8,4.2,0.832,0.175,1.24,1.03,1.41
4024922,14020929,26.0,36.6,19.1,8.9,3.8,0.778,0.191,1.36,1.14,1.52
4024923,14020929,25.5,36.0,19.6,9.1,4.0,0.846,0.175,1.3,1.08,1.47
4024924,14020929,23.1,41.6,17.2,8.7,3.5,0.722,0.426,1.34,1.12,1.54
4024927,14020930,19.0,46.9,16.4,8.9,3.4,0.645,0.17,1.16,0.96,1.41
4024928,14020930,21.3,44.7,16.6,8.4,3.5,0.8,0.157,1.28,1.06,1.48
4024932,14020930,23.9,39.2,17.9,9.6,3.7,0.808,0.162,1.34,1.11,1.55
4024933,14020930,23.2,39.2,18.0,10.3,3.8,0.791,0.164,1.29,1.06,1.54
4024935,14020930,21.7,44.0,16.1,9.1,3.2,0.726,0.174,1.35,1.12,1.6
4024937,14020930,21.0,44.9,16.1,8.6,3.6,0.771,0.162,1.3,1.07,1.5
4024939,14020930,22.0,41.9,17.2,9.5,3.5,0.778,0.161,1.28,1.06,1.52
4024941,14020930,21.3,44.3,16.0,9.3,3.4,0.749,0.163,1.33,1.1,1.58
4024947,14021001,23.6,40.8,18.5,7.6,3.8,0.78,0.163,1.28,1.06,1.4
4024948,14021001,23.3,39.4,18.2,9.5,3.8,0.859,0.165,1.28,1.06,1.49
4024950,14021001,25.7,32.8,21.5,9.9,4.4,0.758,0.183,1.2,0.99,1.37
4024955,14021002,25.6,35.0,20.1,10.0,4.0,0.798,0.169,1.27,1.06,1.48
4024960,14021002,23.4,38.8,19.3,9.5,3.7,0.821,0.163,1.21,1.02,1.43
4024965,14021002,24.6,39.1,18.3,9.0,3.7,0.741,0.168,1.34,1.12,1.53
4024975,14021002,24.5,36.3,20.1,9.7,4.1,0.79,0.179,1.22,1.01,1.41
4024977,14021002,24.8,36.9,19.3,9.7,4.0,0.765,0.192,1.28,1.06,1.48
4024978,14021002,22.7,44.0,15.8,8.5,3.6,0.711,0.16,1.44,1.17,1.61
4024980,14021002,23.3,40.3,17.3,9.8,4.0,0.761,0.166,1.35,1.09,1.55
4024982,14021002,23.4,38.4,18.8,9.7,4.2,0.841,0.205,1.24,1.02,1.44
4024983,14021002,23.0,38.6,18.8,10.3,4.0,0.757,0.167,1.22,1.01,1.46
4024990,14021003,22.5,42.7,16.5,9.3,3.4,0.707,0.159,1.36,1.13,1.6
4024995,14021003,22.3,43.4,16.1,9.2,3.3,0.722,0.164,1.39,1.15,1.62
4025000,14021003,20.4,45.4,15.9,9.5,3.3,0.697,0.148,1.28,1.06,1.56
4025004,14021003,21.0,46.6,14.5,8.7,3.5,0.681,0.208,1.45,1.17,1.65
4025010,14021004,19.8,47.0,16.2,8.0,3.3,0.686,0.198,1.22,1.02,1.43
4025015,14021004,18.0,49.7,14.7,8.8,3.1,0.676,0.138,1.22,1.01,1.51
4025020,14021005,21.7,43.2,17.5,8.4,3.6,0.765,0.153,1.24,1.03,1.43
4025025,14021005,22.0,44.3,16.5,8.3,3.4,0.796,0.173,1.33,1.11,1.52
4025030,14021005,26.0,37.8,17.6,9.3,3.6,0.823,0.216,1.48,1.23,1.67
4025035,14021006,28.2,28.5,22.7,10.2,4.5,0.755,0.241,1.24,1.04,1.41
4025040,14021006,25.9,32.9,20.5,10.8,4.0,0.779,0.192,1.26,1.06,1.5
4025045,14021006,19.8,46.8,15.8,8.6,3.3,0.711,0.168,1.25,1.04,1.49
4025046,14021006,25.5,32.0,20.6,12.1,4.2,0.748,0.188,1.24,1.03,1.52
4025047,14021006,25.0,35.1,19.5,10.7,4.0,0.814,0.172,1.28,1.06,1.52
4025048,14021006,27.4,30.2,21.6,10.9,4.2,0.781,0.186,1.27,1.06,1.48
4025060,14021007,27.9,28.2,22.8,11.0,4.5,0.862,0.188,1.22,1.02,1.42
4025065,14021007,28.2,27.0,23.5,11.2,4.6,0.834,0.2,1.2,1.0,1.4
4025075,14021008,30.5,21.8,25.5,11.0,5.2,0.806,0.224,1.2,0.99,1.35
4025080,14021008,29.9,23.8,25.0,10.6,4.9,0.745,0.225,1.2,1.0,1.35
