tar,heat_no,type_dri,fe_metal,fe_total,md,c,s,cao,sio2,mgo,al2o3,p,mno,gunge,feo,dqi,feo_c
14021014,4025213,HOT,83.2,88.8,93.7,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.1957,7.2043,60774.484,5.146
14021014,4025213,COLD,82.4,87.3,94.4,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.6962,6.3038,71016.614,3.94
14021015,4025221,HOT,79.5,87.2,91.2,1.2,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.3941,9.9059,86879.452,8.255
14021015,4025221,COLD,82.3,87.8,93.7,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.1244,7.0756,69273.631,4.717
14021015,4020000,COLD,81.9,88.1,93.0,2.1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.0238,7.9762,75599.53,3.798
14021015,4025227,HOT,80.5,87.3,92.2,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.0519,8.7481,83323.524,5.146
14021015,4025227,COLD,81.8,87.7,93.3,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.1098,7.5902,73211.593,5.06
14021015,4025233,HOT,78.2,87.9,89.0,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,7.621,12.479,96790.451,7.341
14021015,4025233,COLD,82.8,87.6,94.5,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.2249,6.1751,68741.298,3.431
14021016,4025240,HOT,76.8,86.0,89.3,1.4,0.003,0.91,5.35,0.8,0.99,0.103,0.035,9.964,11.836,-1855702.4,8.454
14021016,4025240,COLD,81.8,87.9,93.1,2.2,0.003,0.9,5.36,0.67,0.96,0.122,0.037,8.1525,7.8475,-1889307.2,3.567
14021016,4025242,HOT,79.0,87.4,90.4,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.394,10.806,93295.471,6.003
14021016,4025242,COLD,83.3,88.5,94.1,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.4103,6.6897,61923.37,4.181
14021016,4025244,HOT,78.5,87.6,89.6,1.4,0.003,0.89,5.03,0.83,0.97,0.11,0.037,8.393,11.707,-1752443.6,8.362
14021016,4025244,COLD,79.3,87.7,90.4,1.5,0.003,0.89,5.11,0.79,0.96,0.11,0.035,8.394,10.806,-1786471.7,7.204
14021017,4025254,HOT,77.3,86.3,89.6,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.522,11.578,105161.472,7.236
14021017,4025254,COLD,79.6,86.8,91.7,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.3373,9.2627,90839.87,5.146
14021017,4020000,COLD,80.5,87.7,91.8,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.8373,9.2627,80576.054,6.616
14021017,4025262,HOT,79.2,87.6,90.4,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.594,10.806,88790.819,7.719
14021017,4025262,COLD,80.7,87.8,92.0,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.566,9.134,81045.139,5.709
14021018,4025278,HOT,80.8,87.1,92.8,1.3,0.003,0.91,5.18,0.74,0.96,0.103,0.037,9.7952,8.1048,-1820944.4,6.234
14021018,4025278,COLD,83.2,88.1,94.4,1.4,0.003,0.92,5.62,0.79,0.99,0.104,0.039,9.0962,6.3038,-1999951.2,4.503
14021018,4025285,HOT,78.3,86.1,90.9,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.065,10.035,98926.509,6.272
14021018,4025285,COLD,81.7,86.7,94.2,1.9,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.9676,6.4324,78540.446,3.385
14021018,4025293,HOT,78.7,87.5,89.9,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.579,11.321,91874.061,8.086
14021018,4025293,COLD,82.1,87.7,93.6,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.9957,7.2043,72274.238,4.238
14021019,4025301,HOT,77.0,86.4,89.1,1.8,0.003,0.91,5.11,0.72,0.95,0.104,0.036,9.107,12.093,-1767308.9,6.718
14021019,4025301,COLD,80.4,87.1,92.3,1.7,0.003,0.9,5.5,0.85,0.99,0.104,0.036,9.2806,8.6194,-1933606.1,5.07
14021019,4025309,HOT,78.6,86.3,91.1,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.7941,9.9059,97797.011,5.827
14021019,4025309,COLD,80.2,86.7,92.5,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.7379,8.3621,86747.725,4.919
14021019,4025316,HOT,77.4,86.7,89.3,1.2,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.436,11.964,101011.98,9.97
14021019,4025316,COLD,79.8,87.3,91.4,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.0514,9.6486,86399.28,6.432
14021020,4025327,HOT,82.1,87.9,93.4,1.3,0.003,0.89,5.03,0.63,0.92,0.127,0.038,9.1384,7.4616,-1776351.5,5.74
14021020,4025327,COLD,82.4,87.8,93.8,1.8,0.003,0.89,4.87,0.59,0.9,0.127,0.038,8.853,6.947,-1716423.6,3.859
