Heat,c (Coke1030),s (Coke1030),s112 (Coke1030),Coke1030_labels,c (CokeFine),s (CokeFine),s05 (CokeFine),CokeFine_labels,cao (Dolomite),mgo (Dolomite),s0_95 (Dolomite),s95_385 (Dolomite),s385_1000 (Dolomite),Dolomite_labels,fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),feo_c (DRI),Dri_labels,cao (Lime),mgo (Lime),s0_95 (Lime),Lime_labels,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels,Duration (EAF),Power On (EAF),Power Off (EAF),Delays (EAF),DRI [t] (EAF),Ele [MW] (EAF),Tapped [t] (EAF),Tapped [kWh/t] (EAF),O2 [Nm3] (EAF),CH4 [Nm3] (EAF),C.inj [kg] (EAF),Chemical [MWh] (EAF),C [kg] (EAF),CaO [kg] (EAF),MgO [kg] (EAF),Tapping Time [Sec] (EAF),EAF_DRI (EAF),HDRI(T) (EAF)
4024729.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,33.2,16.0,27.8,12.2,5.1,0.865,0.179,1.19,1.01,1.38,3.0,56.0,49.0,7.0,2.0,49.62847137,120.8452225,183.4684448,540.2926025,6304.996094,727.9699707,1795.662476,18916.2207,2007.099854,9225.501953,10166.39258,277.0,49628.47266,169.8999939
4024730.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,27.0,26.9,24.1,11.5,4.9,0.754,0.184,1.12,0.93,1.33,3.0,57.0,49.0,8.0,3.0,50.0012207,120.0765991,177.3901215,558.6362305,6398.720215,743.8743286,1852.000122,19210.60938,2006.800049,9733.796875,10323.20215,294.0,50001.21875,169.6000061
4024731.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,27.0,26.9,24.1,11.5,4.9,0.754,0.184,1.12,0.93,1.33,3.0,56.0,48.0,8.0,3.0,43.85560989,120.4183121,179.5282745,536.9713745,5932.833496,767.0132446,2132.987305,18012.89063,2010.099976,8657.094727,9827.087891,281.0,43855.60547,170.6000061
4024732.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,27.0,26.9,24.1,11.5,4.9,0.754,0.184,1.12,0.93,1.33,3.0,56.0,47.0,9.0,4.0,44.05334854,119.2943573,183.324234,510.2797852,5725.600098,658.2419434,2026.629639,17170.55078,2005.200073,8771.599609,9877.384766,270.0,44053.34766,170.3000031
4024733.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,27.0,26.9,24.1,11.5,4.9,0.754,0.184,1.12,0.93,1.33,3.0,56.0,48.0,7.0,2.0,43.60416031,120.7145844,179.0109253,544.1565552,5774.257813,660.0405273,1950.780396,17306.59961,2003.300049,8935.498047,9970.670898,282.0,43604.16016,170.8000031
4024734.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,27.0,26.9,24.1,11.5,4.9,0.754,0.184,1.12,0.93,1.33,3.0,69.0,49.0,19.0,14.0,49.08319855,121.2271271,173.498703,576.2504272,5915.025391,771.0826416,1963.999756,17975.38086,2005.5,8954.217773,10176.41504,280.0,49083.19922,170.1999969
4024735.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,26.3,29.3,23.2,10.8,4.7,0.808,0.18,1.13,0.94,1.33,3.0,57.0,49.0,7.0,2.0,49.07901001,121.1617508,175.025116,569.9553833,5739.10498,652.2913208,1674.987183,17191.53906,2006.299927,9038.814453,9981.150391,267.0,49079.00781,170.3999939
4024736.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,26.3,29.3,23.2,10.8,4.7,0.808,0.18,1.13,0.94,1.33,3.0,60.0,50.0,9.0,4.0,48.76712036,117.7136841,173.4953461,570.8682251,5651.598633,643.2276001,2149.999512,16931.71094,2002.699951,9541.790039,10063.12109,285.0,48767.125,171.3999939
4024737.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,26.3,29.3,23.2,10.8,4.7,0.808,0.18,1.13,0.94,1.33,3.0,65.0,53.0,11.0,6.0,75.32602692,119.9954453,181.2769775,593.9119873,6080.067383,692.230835,2233.962891,18215.99023,2005.200073,8958.444336,10043.49023,285.0,75326.03125,145.6000061
4024738.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,26.3,29.3,23.2,10.8,4.7,0.808,0.18,1.13,0.94,1.33,3.0,55.0,48.0,7.0,2.0,67.32800293,119.9714203,177.1999054,542.5723267,5387.078613,613.0563354,2057.999512,16139.05957,2006.099854,9112.208984,9731.80957,260.0,67328.0,142.6000061
4024739.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,24.5,36.2,20.2,9.2,4.0,0.791,0.178,1.21,1.01,1.39,2.0,69.0,52.0,17.0,12.0,66.40384674,119.4998398,170.9898071,607.241394,5948.033691,676.2055664,2353.995361,17817.82031,2001.799927,8625.898438,9901.303711,269.0,66403.84375,143.6000977
4024740.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,26.1,31.7,22.2,9.8,4.5,0.846,0.183,1.18,0.98,1.34,3.0,60.0,52.0,8.0,3.0,74.50187683,117.3974991,182.3932648,560.1546631,5563.291992,640.7324219,2429.66626,16686.78906,2006.399902,8840.109375,9699.108398,305.0,74501.875,135.8999939
4024741.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,30.0,22.3,26.0,10.9,5.1,0.738,0.195,1.15,0.96,1.32,3.0,68.0,60.0,8.0,3.0,98.84410858,116.6058807,172.3877869,680.7376709,6743.40625,765.7033691,3036.852051,20198.0293,2005.300049,9700.689453,9374.773438,305.0,98844.10938,129.5
4024742.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,27.0,26.4,24.8,11.0,5.0,0.715,0.19,1.09,0.91,1.28,3.0,61.0,54.0,7.0,2.0,46.19765091,118.7948914,176.8985748,605.6939087,6305.84668,716.5961914,3118.888428,18888.93945,2000.099976,9451.21582,10031.38477,262.0,46197.65234,174.5
4024743.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,27.0,26.4,24.8,11.0,5.0,0.715,0.19,1.09,0.91,1.28,3.0,63.0,52.0,11.0,6.0,45.67906189,117.7313232,176.8873138,582.930542,6579.125488,761.7977905,2755.887939,19744.31055,2000.299927,9773.984375,10025.81738,246.0,45679.0625,169.8000031
4024744.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,27.0,26.4,24.8,11.0,5.0,0.715,0.19,1.09,0.91,1.28,3.0,55.0,47.0,7.0,2.0,49.23939896,123.7030945,175.9793549,558.4475098,5545.474609,729.5048218,1920.99585,16869.5,2006.599976,8456.40332,9620.506836,247.0,49239.39844,160.0
4024745.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,26.2,29.7,23.1,10.5,4.7,0.776,0.18,1.13,0.94,1.32,3.0,64.0,49.0,14.0,9.0,79.23587799,121.557251,174.7619629,579.2460938,5966.640625,684.3474121,1983.773071,17889.23047,2002.5,8582.410156,9767.979492,261.0,79235.875,130.1000061
