tar,fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),Dri_labels
14030323,79.95,86.1,92.85,2.2,9.94,7.91,1
14030324,80.0,87.1,91.8,2.0,8.87,9.13,0
14030325,79.75,85.98,92.72,1.82,10.42,8.01,1
14030326,77.7,85.8,90.6,2.2,9.68,10.42,1
14030328,79.8,86.6,92.1,2.1,9.35,8.75,1
14030329,80.5,86.9,92.6,2.2,9.07,8.23,0
14030330,79.7,86.2,92.5,1.8,10.14,8.36,1
14030331,81.5,87.0,93.7,2.4,9.02,7.08,0
14030401,79.9,87.1,91.7,1.9,8.94,9.26,0
14030403,77.95,86.5,90.1,1.55,9.5,11.0,1
14030405,79.9,86.8,92.1,2.1,9.12,8.88,1
14030406,81.8,87.5,93.5,2.1,8.77,7.33,0
14030407,80.6,87.2,92.4,2.1,8.81,8.49,0
14030408,79.9,86.3,92.6,1.8,10.07,8.23,1
14030409,80.8,87.5,92.35,1.75,8.83,8.62,0
14030410,78.9,86.4,91.3,2.0,9.45,9.65,1
14030411,78.53,86.27,91.03,1.93,9.58,9.95,1
14030412,79.4,86.37,91.93,1.9,9.74,8.96,1
14030413,79.15,87.35,90.62,1.88,8.43,10.55,1
14030414,80.17,87.13,92.0,1.83,9.04,8.96,0
14030415,79.5,86.8,91.6,1.6,9.51,9.39,1
14030416,80.5,86.15,93.45,2.0,10.23,7.27,1
14030417,79.05,86.65,91.2,2.0,9.17,9.78,1
14030418,79.05,86.3,91.6,1.8,9.82,9.33,1
14030420,80.1,86.3,92.8,2.0,9.92,7.98,1
14030422,80.1,86.9,92.2,1.5,9.65,8.75,0
14030423,78.9,86.2,91.5,2.0,9.71,9.39,1
14030425,81.6,86.6,94.2,2.1,9.87,6.43,1
14030426,81.0,87.3,92.8,1.7,9.2,8.1,0
14030430,76.4,85.4,89.5,1.9,10.12,11.58,1
14030501,79.9,86.0,92.9,2.0,10.25,7.85,1
14030502,80.25,86.85,92.4,2.05,9.21,8.49,0
14030503,79.65,86.75,91.85,1.95,9.27,9.13,1
14030504,79.8,86.0,92.8,2.0,10.22,7.98,1
14030505,80.6,87.1,92.55,2.35,8.69,8.36,0
14030507,78.75,85.8,91.8,1.8,10.38,9.07,1
14030508,79.4,86.15,92.15,1.82,10.09,8.68,1
14030509,80.73,86.4,93.4,1.77,10.21,7.29,1
14030511,79.57,86.5,92.0,2.0,9.51,8.92,1
14030512,79.1,85.7,92.3,2.05,10.36,8.49,1
14030513,79.5,86.6,91.8,1.8,9.57,9.13,1
14030514,80.45,86.5,93.0,2.3,9.47,7.78,1
