tar,heat_no,cao,feo,sio2,mgo,al2o3,p2o5,mno,b2,b3,b4
970428,971585,23.5,36.4,22.4,11.9,4.7,0.455,0.346,1.05,0,1.3
970430,971590,29.4,27.6,22.7,14,5.1,0.34,0.664,1.3,1.06,1.57
970430,971595,23.8,34.7,20.8,15.3,4.4,0.1,0.616,1.14,0.94,1.55
970430,971600,20.4,39.8,20.3,15.2,3.6,0.133,0.375,1,0.85,1.48
970430,971605,26.6,35.6,20.5,13.1,3.5,0.403,0.178,1.3,1.108,1.66
970430,971610,20.9,43.8,17.2,14.7,3,0.031,0.195,1.22,1.035,1.76
970430,971615,25.2,35.4,20.3,14.6,3.8,0.207,0.201,1.24,1.046,1.65
970430,971620,27.9,32.2,21,14.1,4.1,0.3,0.187,1.32,1.112,1.67
970431,971625,29.1,16.8,25.9,20.5,6.4,0.2,0.924,1.13,0.9,1.54
970431,971630,28.5,22.3,25.1,16.9,6,0.182,0.868,1.14,0.92,1.46
970431,971635,23.9,38.9,19.8,12.8,4,0.014,0.452,1.21,1,1.55
970501,971640,30.1,34.7,20.2,10.7,3.6,0.349,0.16,1.49,1.27,1.72
970501,971645,34.7,20.1,21.8,17.5,4.3,1.251,0.183,1.6,1.33,2
970501,971650,28.9,24.9,24.8,15,4.9,1.054,0.241,1.17,0.97,1.48
970502,971655,27.6,28.1,23.9,14.4,5,0.249,0.527,1.15,0.96,1.45
970502,971660,27.7,32.4,20.6,13.9,4.5,0.104,0.506,1.35,1.1,1.66
970503,971665,26.1,32.8,22.8,13.2,4.4,0.229,0.38,1.15,0.96,1.45
970503,971670,31,30.1,19.9,13.3,4.4,0.136,0.966,1.56,1.27,1.82
970503,971675,23.6,36.5,21.9,13.4,3.9,0.137,0.294,1.07,0.91,1.43
970504,971680,30.6,34.8,16.9,13.6,3.5,0.111,0.156,1.81,1.5,2.17
970504,971685,21.4,34.3,17.9,22.3,3.3,0.254,0.319,1.19,1.01,2.05
970506,971695,26.8,31.3,18.1,19.5,3.3,0.683,0.158,1.48,1.25,2.16
970506,971700,30.5,21.2,25.5,17,4.9,0.44,0.37,1.2,1.01,1.57
970506,971705,21.4,37.4,20.9,15.7,3.8,0.077,0.414,1.03,0.87,1.5
970506,971710,28.7,34.1,19.6,12.6,4.3,0.062,0.467,1.46,1.2,1.72
970506,971715,28.8,28.5,23,14.4,4.4,0.282,0.375,1.25,1.05,1.58
970507,971720,29.6,28.2,22.3,14.9,4.3,0.381,0.256,1.33,1.11,1.67
970507,971725,35.5,26.1,21,12.1,4.1,0.675,0.231,1.69,1.41,1.9
970507,971730,33,27.5,20.9,13.4,4.3,0.456,0.252,1.58,1.31,1.84
970508,971735,30.9,32.3,21.3,10.7,3.9,0.482,0.224,1.46,1.23,1.65
970508,971740,29.5,30.6,22.4,12.4,4.1,0.449,0.279,1.31,1.11,1.58
970509,971750,30.3,32.1,21.7,11,4,0.486,0.188,1.4,1.18,1.61
970509,971755,29,32,21.9,12.5,3.8,0.448,0.206,1.33,1.13,1.61
970510,971760,32,18.8,25.6,17.6,4.9,0.595,0.284,1.25,1.05,1.63
970510,971765,27.2,33.4,21.4,13.4,3.8,0.368,0.195,1.27,1.08,1.62
970511,971770,33.9,18.5,26.4,14.5,5.3,0.931,0.328,1.28,1.07,1.52
970511,971775,33.3,25.5,23,12.8,4.3,0.671,0.219,1.45,1.22,1.69
970511,971780,30.4,31.8,21.4,11.6,4,0.413,0.223,1.42,1.2,1.66
970513,971790,31.3,30.1,21.9,11.6,4.1,0.46,0.305,1.43,1.2,1.65
970513,971795,36.2,28.2,19.8,10.8,3.9,0.673,0.156,1.83,1.53,1.98
970513,971800,31.1,31.8,19.7,12.8,3.6,0.635,0.207,1.57,1.33,1.88
970513,971805,33.1,24.9,24.2,12.1,4.3,1.135,0.152,1.36,1.16,1.58
970514,971810,32.7,24.4,21.9,15.3,4.2,1.128,0.181,1.5,1.26,1.85
970514,971815,30,34.3,20.7,10.4,3.8,0.368,0.235,1.45,1.22,1.65
970514,971820,30.5,33.6,20.7,10.5,3.9,0.342,0.232,1.48,1.24,1.67
970515,971825,34,33.8,18.2,9.7,3.5,0.223,0.396,1.87,1.57,2.01
970515,971830,24.7,36.9,22.3,11.5,3.8,0.421,0.219,1.11,0.95,1.39
970515,971835,30.3,32.3,20.2,12.4,3.9,0.314,0.337,1.5,1.26,1.77
970516,971840,26.7,36.1,20.5,12.4,3.6,0.305,0.203,1.31,1.11,1.62
970516,971845,32.2,26.5,22.6,13.3,4.1,0.908,0.273,1.43,1.21,1.71
970516,971850,28.2,35.2,21.6,10.4,3.8,0.367,0.22,1.31,1.11,1.52
970517,971860,29.2,26.4,23.6,14.7,5.1,0.348,0.508,1.24,1.02,1.53
970517,971865,32.4,24.2,22.4,14.5,5.3,0.355,0.559,1.45,1.17,1.69
970517,971870,32.8,29.4,19.9,12.5,4.6,0.227,0.363,1.65,1.34,1.85
970518,971875,32,27.3,21.8,13.1,4.9,0.338,0.438,1.47,1.2,1.69
970518,971882,32,26.3,23.5,12.5,4.6,0.585,0.301,1.36,1.14,1.58
970518,971885,27.7,35.2,20.3,12.1,4,0.206,0.25,1.36,1.14,1.64
970518,971890,29,32.3,21.1,12.5,4.3,0.303,0.239,1.37,1.14,1.63
970520,971895,34.3,15.7,26.4,14.4,7.1,0.129,1.713,1.3,1.03,1.46
970520,971900,33.3,30.1,19.7,12,4,0.414,0.249,1.69,1.41,1.91
970520,971905,28.2,33.5,20.6,13.1,3.7,0.456,0.201,1.37,1.16,1.7
970520,971910,29,34.2,19.4,13.2,3.5,0.385,0.178,1.5,1.27,1.84
970521,971915,26,30.9,19.4,19.3,3.4,0.594,0.192,1.34,1.14,1.98
970521,971920,29.5,32.5,20.6,12.8,3.7,0.525,0.215,1.43,1.21,1.74
970521,971925,31.5,30.8,19.9,13.3,3.6,0.443,0.261,1.58,1.34,1.91
970522,971935,36,24.5,21.9,12,4.4,0.793,0.254,1.64,1.37,1.83
970522,971940,25.1,36.4,18,16.7,3,0.303,0.212,1.39,1.19,1.99
970523,971945,33.2,29.9,19.9,11.5,4.4,0.203,0.65,1.66,1.36,1.83
970523,971950,24.2,30.2,19.1,22.1,3.1,0.927,0.197,1.26,1.09,2.08
970523,971955,31.3,32.5,19.3,12.3,3.8,0.337,0.27,1.62,1.35,1.88
970524,971960,30,30.6,19.4,15.6,3.5,0.49,0.248,1.55,1.31,1.99
970524,971965,26.9,28.3,19.1,21,3,1.147,0.295,1.41,1.21,2.16
970524,971970,35.2,24,21.6,13.6,4.5,0.733,0.259,1.63,1.35,1.87
970524,971975,28.5,33.3,18.1,16.2,3.2,0.383,0.146,1.58,1.34,2.1
970526,971980,33.1,24.6,23.6,13.1,4.5,0.767,0.242,1.4,1.18,1.64
970526,971985,32.7,32.5,20.2,9.8,3.9,0.52,0.184,1.62,1.36,1.76
970526,971990,43.2,20.6,18.7,11.9,4.4,0.88,0.189,2.31,1.87,2.39
970526,971995,36.1,20.5,24.8,12.1,4.9,0.663,0.717,1.46,1.21,1.62
970526,972000,36.6,26.4,21.5,10,4.4,0.64,0.24,1.7,1.42,1.8
970526,972005,38.1,23.7,20.5,12.3,4,0.945,0.173,1.85,1.55,2.05
970526,972010,34.9,25,22.2,12.4,4.3,0.9,0.149,1.57,1.31,1.78
970528,972015,32.1,26.2,23,13.2,4.4,0.885,0.148,1.4,1.17,1.65
970528,972020,35.7,22.2,22.6,13.2,4.6,1.321,0.152,1.58,1.31,1.8
970528,972025,36.6,22.9,23.1,11.2,4.7,0.997,0.214,1.58,1.31,1.72
970529,972030,27.6,27.8,22.3,17,4,0.801,0.305,1.24,1.05,1.7
970529,972035,30.5,36.3,17.8,11.4,3.4,0.232,0.204,1.71,1.44,1.98
970530,972040,28.8,27.7,17.5,21.7,3.2,0.596,0.248,1.64,1.39,2.43
970530,972045,33.4,27.4,19.1,15.1,3.8,0.682,0.249,1.75,1.46,2.12
970530,972050,37.2,22.6,18.7,16.2,4,1.021,0.213,1.99,1.64,2.36
970530,972055,35.8,26.7,20.3,11.8,4.1,0.987,0.19,1.76,1.47,1.95
970531,972060,38.2,20.1,21.4,13.8,5,1.008,0.328,1.79,1.45,1.97
970531,972065,37,22.5,22.2,11.6,4.6,1.627,0.257,1.67,1.38,1.82
970531,972070,36.2,26.2,20.2,11.6,4.2,1.044,0.254,1.79,1.48,1.96
970601,972075,34.8,28.1,19.9,11.6,4.4,0.706,0.293,1.75,1.43,1.91
970624,972405,31.4,36.1,17.8,10.4,3.6,0.327,0.144,1.76,1.47,1.95
970624,972410,33.7,27,16.3,18.6,3.3,0.75,0.127,2.07,1.72,2.67
970624,972415,29.6,36.1,18.8,11.3,3.5,0.304,0.136,1.57,1.32,1.83
970626,972420,35,30.7,18.6,11,3.8,0.498,0.236,1.88,1.56,2.05
970627,972425,33.5,36.3,17.7,8.4,3.5,0.295,0.115,1.9,1.58,1.98
970627,972435,40.6,24.1,19.2,10.7,4.3,0.797,0.099,2.11,1.73,2.18
970627,972440,35.3,29.8,18.2,12.1,4,0.304,0.129,1.94,1.59,2.14
970628,972445,36.2,29.8,18.1,11.2,3.9,0.529,0.12,2,1.65,2.16
970628,972450,35.5,28.4,17.9,13.6,3.7,0.585,0.131,1.99,1.64,2.27
970628,972455,33.8,31,17.5,13.3,3.6,0.391,0.125,1.93,1.6,2.23
970629,972460,30.7,33.7,18.6,12.6,3.6,0.318,0.139,1.65,1.38,1.95
970629,972465,33.6,29.8,18.1,13.6,4,0.392,0.133,1.85,1.52,2.13
970629,972470,31.3,31.7,17.5,15.2,3.5,0.44,0.139,1.79,1.49,2.22
970631,972475,31.4,35.6,17.3,11.5,3.5,0.292,0.145,1.82,1.51,2.06
970631,972480,31.9,29.2,17.7,16.7,3.6,0.415,0.143,1.8,1.5,2.28
970631,972485,33.5,33.3,18.4,10.4,3.7,0.401,0.153,1.82,1.51,1.98
970631,972490,33,32.4,17.9,12.1,3.9,0.249,0.369,1.85,1.52,2.07
970631,972495,35.2,28.7,19.6,11.2,4.3,0.649,0.223,1.8,1.48,1.95
