sample_no,sampling_d,tar,c,s,humidity,ash,s05,s05_335,s335,factory,trailer,time_1,location
COKE98-26,,1000,76.7,0.8,0,0,1.7,55,43.3,,,  /  /,
COKE98-27,,1000,75,0.9,0,0,11.7,53.3,35,,,  /  /,
COKE98-28,,1000,67.9,1.1,0,0,15,61.7,23.3,,,  /  /,
COKE98-29,,1000,74.8,0.9,0,0,2,48,50,,,  /  /,
COKE98-84,,1000,78.2,0.9,0,0,13.4,73.3,13.3,,,  /  /,82A148(1)
COKE98-85,,1000,80.4,0.7,0,0,0.1,78.3,21.6,,,  /  /,2
COKE98-50,,1100,70.1,1.1,0,0,3.3,86.7,10,,,  /  /,
COKE98-86,,1100,80.4,0.7,0,0,1.7,68.3,30,,,  /  /,1
COKE98-30,,1200,82,0.6,0,0,1.6,56.7,41.7,,,  /  /,
COKE98-51,,1200,82.4,0.5,0,0,1.7,70,28.3,,,  /  /,
COKE98-52,,1200,88.2,0.4,0,0,8.3,65,26.7,,,  /  /,
COKE98-87,,1200,80.5,0.6,0,0,1.2,62.5,36.3,,,  /  /,
Sample98-16,,1200,90.4,0.4,0,0,9.5,76.5,14,,,  /  /,
COKE98-53,,1300,80.6,0.5,0,0,3.3,65,31.7,,,  /  /,
COKE98-54,,1300,68,2,0,0,1.7,93.3,5,,,  /  /,
COKE98-88,,1300,78.8,0.7,0,0,0,63.3,36.7,,,  /  /,1
COKE98-89,,1300,78.5,1.3,0,0,1.7,88.3,10,,,  /  /,2
COKE98-03-Storage,,1400,81.9,0.7,0,0,32.5,60,7.5,,,  /  /,
COKE98-55,,1400,80.7,0.6,0,0,0,70,30,,,  /  /,
COKE98-95,,1400,77.6,0.7,0,0,1.6,71.7,26.7,,,  /  /,
COKE98-31,,1500,81.8,0.5,0,0,1.6,61.7,36.7,,,  /  /,
COKE98-96,,1500,76.6,1.5,0,0,35,55,10,,,  /  /,
COKE98-32,,1600,82.2,0.6,0,0,0,60,40,,,  /  /,
COKE98-56,,1600,68.7,1.5,0,0,8.75,87.5,3.75,,,  /  /,
COKE98-04,,1800,68.7,1.7,0,0,3.7,93.8,2.5,,,  /  /,
COKE98-05,,1800,84.7,1.5,0,0,3.3,71.7,25,,,  /  /,
COKE98-33,,1800,81.4,1,0,0,3.3,66.7,30,,,  /  /,
COKE98-34,,1900,81,0.6,0,0,5,66.7,28.3,,,  /  /,
COKE98-57,,1900,73.7,0.6,0,0,1.7,91.6,6.7,,,  /  /,
COKE98-58,,1900,81.7,0.6,0,0,3.4,68.3,28.3,,,  /  /,
COKE98-59,,2000,83.7,0.5,0,0,1.7,68.3,30,,,  /  /,1
COKE98-06,,2100,78.8,0.6,0,0,1.2,78.8,20,,,  /  /,
COKE98-60,,2100,81.9,0.6,0,0,5,71.7,23.3,,,  /  /,1
COKE98-61,,2100,75.9,1,0,0,6.7,88.3,5,,,  /  /,2
COKE98-07,,2200,78.7,0.6,0,0,1.2,78.8,20,,,  /  /,
COKE98-35,,2200,83.4,0.5,0,0,3.3,51.7,45,,,  /  /,
